logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose,pareto_rank,fitness,F_oral,Cmax,Tmax,AUC,AUC_24,Cmax_MIC,AUC_MIC,Ctrough,fCT,Ka,k_transit,obj_F,obj_Cmax,obj_AUC,obj_dose,penalty
1.5018960137485864,50.00000000000001,49.99884502084274,29.999987850087525,20.000000000098787,50,29.99999999999989,1,1,550.5675038452625,161,0.6107287012262075,0.33802790293942875,9.54211550341983,0.30000000000000004,32.11926131132213,32.11926131132213,9.54211550341983,32.11926131132213,0.15739997924378954,29.521829521829524,5,2.2399964986127907,0.5200429275991212,1,0.4014907663915266,0.5617906201934219,0
1.5018960137485864,50.00000000000001,49.99884502084274,29.999987850087525,20.000000000098787,50,29.99999999999989,1,1,550.5675038452625,196,0.6107287012262075,0.33802790293942875,9.54211550341983,0.30000000000000004,32.11926131132213,32.11926131132213,9.54211550341983,32.11926131132213,0.15739997924378954,29.521829521829524,5,2.2399964986127907,0.5200429275991212,1,0.4014907663915266,0.5617906201934219,0
1.5001691141450408,50.00000000000038,49.999634028232066,29.99999999999983,20.000000013483586,50,29.99999969742052,1,1,542.098734628004,22,0.6107269646469388,0.3383517355155966,9.40434148343711,0.30000000000000004,31.65550344558734,31.65550344558734,9.40434148343711,31.65550344558734,0.1551273391602975,29.10602910602911,5,2.2399989020846958,0.5205411315624563,1,0.39569379306984176,0.5723765817149951,0
1.5004503545485919,50.000000002924395,49.9993028353615,29.999987410257543,20,50,30,1,1,536.2918589078917,91,0.6107203008706524,0.338569550025928,9.309592466092662,0.30000000000000004,31.336574712838978,31.336574712838978,9.309592466092662,31.336574712838978,0.15356443405336218,28.8981288981289,5,2.239997870736857,0.5208762308091199,1,0.3917071839104872,0.5796351763651355,0
1.5049975391509274,50,49.99969425773622,30,20.000002120675894,49.9999999997193,29.99999999023353,1,1,534.0373042020302,162,0.6107164558315517,0.33865310622422057,9.272743577614776,0.30000000000000004,31.21253779399583,31.21253779399583,9.272743577614776,31.21253779399583,0.152956592260732,28.8981288981289,5,2.239999082773209,0.5210047788064932,1,0.39015672242494787,0.5824533697474623,0
1.5049975391509274,50.00001662931129,49.999897713668005,30,20.000002120675894,49.99999999999379,29.9999999999042,1,1,530.1875144741379,158,0.6107096637596016,0.3387962025884456,9.209788001402009,0.30000000000000004,31.000625228202207,31.000625228202207,9.209788001402009,31.000625228202207,0.1519181174545482,28.690228690228693,5,2.2399996931410042,0.5212249270591471,1,0.3875078153525276,0.5872656069073277,0
1.5004503545485919,50,49.9993028353615,29.999987410257543,20,49.999999999999915,30,1,1,571.4947363174416,143,0.6107031724541524,0.3372101226691848,9.88085229313498,0.30000000000000004,33.25946514179766,33.25946514179766,9.88085229313498,33.25946514179766,0.16298753096729113,30.14553014553015,5,2.239997870736857,0.5187848041064381,1,0.4157433142724708,0.5356315796031981,0
1.5003453583883246,50,49.99930779455143,30,20.00000044697769,50,30,1,1,575.0421676610036,136,0.6106940388981267,0.3370683675311437,9.938006133892276,0.30000000000000004,33.45184788025604,33.45184788025604,9.938006133892276,33.45184788025604,0.16393029978198084,30.353430353430355,5,2.2399979233836542,0.5185667192786826,1,0.4181480985032005,0.5311972904237454,0
1.5004214534169604,50.00000000000001,49.9993028353615,30,20,49.999999999999964,30,1,1,578.227855908562,179,0.6106846283985903,0.33694028558770917,9.989264653678733,0.30000000000000004,33.62438675759053,33.62438675759053,9.989264653678733,33.62438675759053,0.16477582407935784,30.561330561330564,5,2.2399979085060844,0.5183696701349372,1,0.4203048344698816,0.5272151801142975,0
1.5003773100355549,50.00000170414843,49.99931722354538,30,20.00000198663763,50,30,1,1,580.6511962900586,34,0.6106767428588493,0.33684240831712853,10.028215535906341,0.30000000000000004,33.75549739937001,33.75549739937001,10.028215535906341,33.75549739937001,0.1654183298699665,30.561330561330564,5,2.2399979516706363,0.5182190897186593,1,0.4219437174921251,0.5241860046374267,0
