"state","gastric_min","Cmax","Tmax","AUC24","F_pct","Cmax_MIC"
"fasted",15,4.41229988175869,2.1,33.8152211755047,34.6399826675902,4.41229988175869
"fed",60,3.5263261951828,2.9,32.6471538442946,33.4434258892774,3.5263261951828
