Time,Concentration
0,0
0.1,2.38159488421806
0.2,4.29831160091318
0.30000000000000004,5.829961305748695
0.4,7.042910066591649
0.5,7.992336967968458
0.6000000000000001,8.72411315378169
0.7000000000000001,9.276365435214982
0.8,9.680777410876003
0.9,9.963672158979966
1,10.146913165864134
1.1,10.248654000956954
1.2000000000000002,10.283962127143198
1.3,10.265337973880955
1.4000000000000001,10.203146854153287
1.5,10.105978355310693
1.6,9.980945378167755
1.7000000000000002,9.833932955215735
1.8,9.669805278315877
1.9000000000000001,9.492577951172189
2,9.305561304337214
2.1,9.111479630611962
2.2,8.912570383285395
2.3000000000000003,8.71066670111189
2.4000000000000004,8.507266059273666
2.5,8.303587375701342
2.6,8.100618511121583
2.7,7.89915577582712
2.8000000000000003,7.699836785405994
2.9000000000000004,7.503167782355509
3,7.309546353014565
3.1,7.119280313227088
3.2,6.932603406317171
3.3000000000000003,6.749688348917139
3.4000000000000004,6.570657670285368
3.5,6.395592715937198
3.6,6.224541124156559
3.7,6.057523032150436
3.8000000000000003,5.894536225498554
3.9000000000000004,5.7355604086773955
4,5.580560744586023
4.1000000000000005,5.4294907861604615
4.2,5.282294902492584
4.3,5.1389102846684285
4.4,4.999268602227509
4.5,4.863297369233937
4.6000000000000005,4.73092106903904
4.7,4.602062078567848
4.800000000000001,4.4766414260990635
4.9,4.354579410797592
5,4.235796107506823
5.1000000000000005,4.12021177635399
5.2,4.007747193431723
5.300000000000001,3.898323916081413
5.4,3.791864494026052
5.5,3.6882926357049013
5.6000000000000005,3.5875333375853473
5.7,3.4895129829151825
5.800000000000001,3.3941594152869135
5.9,3.301401991477415
6,3.211171617270652
6.1000000000000005,3.123400769342586
6.2,3.03802350576445
6.300000000000001,2.9549754672455886
6.4,2.874193870875261
6.5,2.7956174978218704
6.6000000000000005,2.719186676197838
6.7,2.644843260090225
6.800000000000001,2.572530605584179
6.9,2.502193544462451
7,2.4337783561446393
7.1000000000000005,2.3672327383304945
7.2,2.30250577672903
7.300000000000001,2.239547914186631
7.4,2.1783109194704204
7.5,2.1187478559158768
7.6000000000000005,2.0608130501084605
7.7,2.0044620607365506
7.800000000000001,1.9496516477259636
7.9,1.8963397417440824
8,1.8444854141430982
8.1,1.7940488473966345
8.200000000000001,1.7449913060714017
8.3,1.6972751083651463
8.4,1.6508635982335735
8.5,1.6057211181219448
8.6,1.561812982311226
8.700000000000001,1.5191054508840063
8.8,1.4775657043115513
8.9,1.4371618186602138
9,1.3978627414129885
9.1,1.359638267899905
9.200000000000001,1.3224590183294078
9.3,1.2862964154115966
9.4,1.2511226625632055
9.5,1.216910722683498
9.600000000000001,1.1836342974896579
9.700000000000001,1.1512678073998834
9.8,1.1197863719521295
9.9,1.0891657907462693
10,1.059382524897387
10.100000000000001,1.030413678987903
10.200000000000001,1.0022369835062839
10.3,0.9748307777602048
10.4,0.9481739932521475
10.5,0.9222461375056039
10.600000000000001,0.897027278330229
10.700000000000001,0.8724980285144953
10.8,0.8486395309346298
10.9,0.8254334440688292
11,0.8028619279059985
11.100000000000001,0.7809076302384899
11.200000000000001,0.7595536733285626
11.3,0.7387836409385296
11.4,0.7185815657148051
11.5,0.6989319169162962
11.600000000000001,0.679819588477836
11.700000000000001,0.6612298873995809
11.8,0.6431485224535334
11.9,0.6255615931985832
12,0.6084555792956755
12.100000000000001,0.591817330114948
12.200000000000001,0.5756340546268862
12.3,0.5598933115697549
12.4,0.5445829998857853
12.5,0.5296913494187806
12.600000000000001,0.5152069118660132
12.700000000000001,0.5011185519774735
12.8,0.48741543899571316
12.9,0.4740870383297239
13,0.46112310345644864
13.100000000000001,0.4485136680437156
13.200000000000001,0.43624903828854394
13.3,0.42431978546493143
13.4,0.41271673867540914
13.5,0.40143097780078457
13.600000000000001,0.39045382664266415
13.700000000000001,0.37977684625348185
13.8,0.36939182844890733
13.9,0.3592907894976533
14,0.3494659639838256
14.100000000000001,0.33990979883710426
14.200000000000001,0.33061494752616605
14.3,0.32157426441088105
14.4,0.3127807992489487
14.5,0.304227791852747
14.600000000000001,0.295908666892287
14.700000000000001,0.28781702884028065
14.8,0.27994665705543353
14.9,0.27229150100018457
15,0.26484567558921457
15.100000000000001,0.2576034566651515
15.200000000000001,0.2505592765979902
15.3,0.2437077200048462
15.4,0.2370435195867529
15.5,0.2305615520793003
15.600000000000001,0.22425683431400537
15.700000000000001,0.21812451938738217
15.8,0.2121598929347696
15.9,0.2063583695060516
16,0.20071548904048203
16.1,0.19522691343790766
16.2,0.18988842322374927
16.3,0.18469591430517895
16.400000000000002,0.179645394816002
16.5,0.17473298204781273
16.6,0.16995489946506928
16.7,0.16530747380179234
16.8,0.16078713223765223
16.900000000000002,0.15639039965127927
17,0.15211389594867922
17.1,0.14795433346470516
17.2,0.1439085144355865
17.3,0.1399733285405702
17.400000000000002,0.13614575051078814
17.5,0.13242283780350791
17.6,0.1288017283399824
17.7,0.12527963830515865
17.8,0.121853860007552
17.900000000000002,0.11852175979764434
18,0.11528077604320176
18.1,0.11212841715995817
18.2,0.10906225969615056
18.3,0.10607994646943147
18.400000000000002,0.10317918475472876
18.5,0.1003577445216582
18.6,0.09761345672013315
18.7,0.094944211612856
18.8,0.0923479571534062
18.900000000000002,0.08982269740868055
19,0.08736649102447187
19.1,0.08497744973300522
19.200000000000003,0.08265373690128767
19.3,0.08039356611915205
19.400000000000002,0.0781951998259108
19.5,0.07605694797456528
19.6,0.07397716673254036
19.700000000000003,0.07195425721794946
19.8,0.06998666427041518
19.900000000000002,0.06807287525550226
20,0.066211418901844
20.1,0.06440086417006613
20.200000000000003,0.06263981915264162
20.3,0.060926930003827935
20.400000000000002,0.059260879898865346
20.5,0.057640388021636804
20.6,0.056064208580008976
20.700000000000003,0.054531129848100116
20.8,0.053039973234736436
20.900000000000002,0.05158959237738161
21,0.050178872260843436
21.1,0.048806728360078495
21.200000000000003,0.04747210580643788
21.3,0.04617397857671135
21.400000000000002,0.04491134870434716
21.5,0.043683245512241654
21.6,0.04248872486650737
21.700000000000003,0.0413268684506478
21.8,0.04019678305957932
21.900000000000002,0.03909759991295817
22,0.038028473987284914
22.1,0.036988583366272074
22.200000000000003,0.035977128608976304
22.3,0.03499333213520891
22.400000000000002,0.034036437627752256
22.5,0.0331057094509229
22.6,0.03220043208503382
22.700000000000003,0.031319909576321435
22.8,0.030463465001914488
22.900000000000002,0.029630439949433134
23,0.028820194010818766
23.1,0.028032104290004786
23.200000000000003,0.027265564924050308
23.3,0.026519986617368426
23.400000000000002,0.025794796188690995
23.5,0.02508943613042186
23.6,0.024403364180039366
23.700000000000003,0.023736052903219035
23.8,0.02308698928835576
23.900000000000002,0.022455674352173667
24,0.021841622756120904
