"dose_mg","CLCR","Cmax","AUC24","Ctrough","CL_implied","Cmax_MIC","AUC_MIC","fe_norm"
200,30,13.2068849946594,109.157377049113,1.05077192599177,1.83221698255001,13.2068849946594,109.157377049113,0.287720708813074
400,30,26.4137664224625,218.314753161927,2.10154385198355,1.83221699040795,26.4137664224625,218.314753161927,0.28772071004704
577.5,30,38.1346419777298,315.19188016845,3.03410380393744,1.83221725030278,38.1346419777298,315.19188016845,0.287720750859413
800,30,52.827208260994,436.629443725524,4.20308770396709,1.83221725308772,52.827208260994,436.629443725524,0.287720751296745
200,65,12.673371559267,57.6022742402711,0.0977077189834416,3.47208513271122,12.673371559267,57.6022742402711,0.545236074633831
400,65,25.3467270676804,115.204544597406,0.195415410100818,3.47208524974289,25.3467270676804,115.204544597406,0.545236093011804
577.5,65,36.5936815488815,166.326439874414,0.282131011221111,3.47208778373447,36.5936815488815,166.326439874414,0.545236490935118
800,65,50.6925481538391,230.408920875417,0.390830820201635,3.47208778618674,50.6925481538391,230.408920875417,0.545236491320208
200,90,12.3379898623085,43.2125192087197,0.0266782657519914,4.62828836786823,12.3379898623085,43.2125192087197,0.726799512545184
400,90,24.675979724617,86.425038670324,0.0533565315039828,4.6282883543256,24.675979724617,86.425038670324,0.726799510418527
577.5,90,35.6259470426941,124.776149456351,0.077033494862467,4.62828835892246,35.6259470426941,124.776149456351,0.726799511140392
800,90,49.3510392002869,172.849905360348,0.106713063007966,4.6282929593291,49.3510392002869,172.849905360348,0.726800233561519
200,112.5,12.0637476506329,35.568755414753,0.0114332655461133,5.62291251599557,12.0637476506329,35.568755414753,0.88298950948731
400,112.5,24.1274953012657,71.1375107013222,0.0228665171591938,5.62291252612759,24.1274953012657,71.1375107013222,0.882989511078383
577.5,112.5,34.8340692568207,102.70478119721,0.0330135269208252,5.62291251943864,34.8340692568207,102.70478119721,0.882989510027989
800,112.5,48.2540596530151,142.274847893368,0.0457330169020966,5.62291938347093,48.2540596530151,142.274847893368,0.882990587915738
200,150,11.656084500761,27.8662890903763,0.00472135792780668,7.177130738555,11.656084500761,27.8662890903763,1.12705490834778
400,150,23.3121672180939,55.7325777981167,0.00944271585561335,7.1771307878301,23.3121672180939,55.7325777981167,1.12705491608566
577.5,150,33.6564894558334,80.4638233481358,0.0136329204505123,7.1771384452039,33.6564894558334,80.4638233481358,1.12705611855514
800,150,46.6233963529587,111.464977337535,0.0188854317112267,7.17714226574922,46.6233963529587,111.464977337535,1.12705671851138
