"regimen","dose_mg","interval_h","Cmax_ss","Cmax_MIC","AUC24","AUC_MIC","Cmin_ss","fT_MIC","daily_mg"
"QD 550",550,24,5.39507088807984,5.39507088807984,49.6088677159289,49.6088677159289,1.05791496736484,100,550
"BID 275",275,12,3.37498650492422,3.37498650492422,24.2304850734815,24.2304850734815,1.25999576506784,100,550
"BID 550",550,12,6.74997300984844,6.74997300984844,48.4609701469629,48.4609701469629,2.51999153013567,100,1100
"TID 200",200,8,2.99287942731488,2.99287942731488,17.4830317338139,17.4830317338139,1.54651268750201,100,600
