"dose_mg","Cmax_ss","Cmax_MIC"
150,3.27151581408291,3.27151581408291
250,5.45252635680485,5.45252635680485
350,7.63353689952679,7.63353689952679
450,9.81454744224873,9.81454744224873
550,11.9955579849707,11.9955579849707
700,15.2670737990536,15.2670737990536
850,18.5385896131365,18.5385896131365
1000,21.8101054272194,21.8101054272194
