"parameter","delta","Cmax","AUC","elasticity_Cmax","elasticity_AUC"
"P_int (x20 platform)",0.8,3.5508278234005,28.1871759670183,0.976216578025086,0.832176311856165
"P_int (x20 platform)",1.2,5.22907833790779,38.9498539659962,0.925569972618842,0.759219164032999
"Dose (550 mg)",0.8,3.52983798822165,27.052185792582,1.00000217254647,0.999998691095624
"Dose (550 mg)",1.2,5.29475664793968,40.5782797991397,0.999996362247772,1.00000212752328
"GFR (specific)",0.8,4.70085544224739,40.5380839696314,-0.326989969201376,-0.994058675416367
"GFR (specific)",1.2,4.17419170868397,29.1968370536144,-0.269823198168269,-0.682885393225784
"Fraction unbound",0.8,5.06702089323044,40.9480428051145,-0.741927145725626,-1.05467617564731
"Fraction unbound",1.2,3.91729021517754,28.9991502288535,-0.560942909419666,-0.712115842989066
