"Time","Conc"
0,0
0.00166666669150194,3.67012635164309e-14
0.00333333338300387,1.27505730112849e-11
0.00500000019868215,3.42529534399227e-10
0.00666666676600774,3.31313237600384e-09
0.00833333333333333,1.8246697968749e-08
0.0100000003973643,7.08573648905997e-08
0.0116666664679845,2.16588609838908e-07
0.0133333335320155,5.56829776051018e-07
0.0149999996026357,1.25643497588385e-06
0.0166666666666667,2.56097565224763e-06
0.0183333337306976,4.81249749054314e-06
0.0200000007947286,8.46465500700105e-06
0.0216666658719381,1.40927864010155e-05
0.023333332935969,2.24024814901168e-05
0.025,3.42346860523685e-05
0.026666667064031,5.05673401312743e-05
0.0283333341280619,7.25143124785245e-05
0.0299999992052714,0.000101322116290539
0.0316666662693024,0.000138364322048728
0.0333333333333333,0.000185133607935131
0.0349999984105428,0.000243232572058623
0.0366666674613953,0.000314363997020409
0.0383333325386047,0.000400320495384804
0.0400000015894572,0.000502973991872277
0.0416666666666667,0.000624265232765465
0.0433333317438761,0.000766192329255282
0.0450000007947286,0.000930801368971588
0.0466666658719381,0.00112017599342158
0.0483333349227905,0.00133642917967751
0.05,0.0015816951853421
0.0516666650772095,0.00185812165679177
0.0533333341280619,0.00216786386003019
0.0549999992052714,0.00251307847613469
0.0566666682561239,0.00289591772325803
0.0583333333333333,0.00331852641762933
0.0599999984105428,0.00378303783718497
0.0616666674613953,0.00429156697275583
0.0633333325386047,0.00484621705917642
0.0650000015894572,0.00544905976425391
0.0666666666666667,0.00610215935387183
0.0683333317438761,0.00680754264888819
0.0699999968210856,0.00756722253712826
0.071666669845581,0.00838318447575905
0.0733333349227905,0.00925738823291846
0.075,0.010191772241788
0.0766666650772095,0.0111882453278545
0.0783333301544189,0.0122486954170559
0.0800000031789144,0.0133749825692642
0.0816666682561239,0.0145689424615446
0.0833333333333333,0.0158323855173402
0.0849999984105428,0.0171671056146175
0.0866666634877523,0.0185748644112051
0.0883333365122477,0.0200573983113095
0.0900000015894572,0.0216164315277338
0.0916666666666667,0.0232536638904735
0.0933333317438761,0.0249707656218298
0.0949999968210856,0.0267693860445544
0.0966666698455811,0.0286511727397703
0.0983333349227905,0.0306177314895019
0.1,0.0326706558843702
0.101666665077209,0.0348115220987052
0.103333330154419,0.0370418906321749
0.105000003178914,0.0393633010848984
0.106666668256124,0.0417772686741874
0.108333333333333,0.0442852981675789
0.109999998410543,0.0468888769163191
0.111666663487752,0.049589467888847
0.113333336512248,0.0523885236038268
0.115000001589457,0.0552874756803736
0.116666666666667,0.0582877383213118
0.118333331743876,0.0613907117964327
0.119999996821086,0.0645977685094625
0.121666669845581,0.0679102843473852
0.123333334922791,0.0713295968813449
0.125,0.0748570436824858
0.126666665077209,0.0784939483889192
0.128333330154419,0.0822415858731419
0.130000003178914,0.0861012519071996
0.131666668256124,0.0900742143970728
0.133333333333333,0.0941617203491926
0.135000006357829,0.098365009803474
0.136666663487752,0.102685281000733
0.138333336512248,0.10712374611482
