"regimen","dose_mg","interval_h","Cmax_ss","AUC_ss","Cmin_ss","Cmax_MIC","AUC_MIC","fT_MIC","daily_mg"
"QD 450 (min target dose)",450,24,9.81454744224873,68.4828495814729,0.976475409197476,9.81454744224873,68.4828495814729,97.75,450
"QD 878 (GA winner)",877.749019305793,24,19.1437986496978,133.579453465342,1.90466740622068,19.1437986496978,133.579453465342,100,877.749019305793
"BID 439",438.874509652897,12,11.1309217672593,66.1067280233838,2.67018439301412,11.1309217672593,66.1067280233838,100,877.749019305793
"BID 878",877.749019305793,12,22.2618435345187,132.213456046768,5.34036878602823,22.2618435345187,132.213456046768,100,1755.49803861159
