"pint_dm_min","pint_cm_s","F","cmax","auc"
1e-11,1.66666666666667e-13,0.000427165155653457,5.45803427012288e-06,0.000416994556709327
3e-11,5e-13,0.00369377859306899,4.62461338424691e-05,0.0036058314837102
1e-10,1.66666666666667e-12,0.0358719952755931,0.000439545329772518,0.0350179001499838
3e-10,5e-12,0.229293165902086,0.00291898690682836,0.223833804809179
1e-09,1.66666666666667e-11,1.1138623912586,0.0175832138960995,1.0873418581334
3e-09,5e-11,3.45933016708526,0.0971683155535162,3.37696516310704
1e-08,1.66666666666667e-10,11.0487458654421,0.5604513379848,10.7856804876935
3e-08,5e-10,29.2263904725384,2.1651380032444,28.5305240327161
1e-07,1.66666666666667e-09,66.4543747995308,6.97306423214912,64.8721277804943
3e-07,5e-09,94.5873828780911,15.2229043247604,92.3353023333747
1e-06,1.66666666666667e-08,100.408783381478,24.446946525898,98.0180980628717
