"parameter","elasticity_Cmax","elasticity_AUC"
"P_int (x20 platform)",0.950893275321964,0.795697737944582
"Dose (550 mg)",0.999999267397121,1.00000040930945
"GFR (specific)",-0.298406583684823,-0.838472034321076
"Fraction unbound",-0.651435027572646,-0.883396009318186
