"component","value","factor","min","max","grade","reference","P_int_dm_min","multiplier","dose_mg"
"logP_modified",1.6,20,1,20,"B","[2] Asad 2023 (measured logP' <= +1.6); A2 anchor",3.74881773027063e-07,124.960591009021,999.801388339949
"sedds_sum",159.202863239992,1.592,0.2,1.6,"B","[10] Muhammad 2022; [17] Griesser 2017",3.74881773027063e-07,124.960591009021,999.801388339949
"particle_size",50.0072997992658,1.5,1,1.5,"C","[3] Hill 2019; [9] Khaled 2026",3.74881773027063e-07,124.960591009021,999.801388339949
"pe_concentration",49.9999435270877,1.6,1,1.6,"B","[16] Maher 2009; [8] Bohley 2024",3.74881773027063e-07,124.960591009021,999.801388339949
"polymer_loading",29.2699742616131,1.293,1,1.3,"C","[8] Bohley 2024",3.74881773027063e-07,124.960591009021,999.801388339949
"chitosan_coating",1.6,1.15,1,1.15,"C","[8] Bohley 2024",3.74881773027063e-07,124.960591009021,999.801388339949
"enteric_coating",1.6,1.1,1,1.1,"C","galenic (dose dumping guard)",3.74881773027063e-07,124.960591009021,999.801388339949
