"dose_mg","Cmax","Tmax","AUC24","AUC96","F","Clast"
250,7.79712665489197,1.375,40.5686522874915,43.0910603215832,97.1125359442508,0.266056276273727
500,15.5942461760712,1.375,81.1371916319718,86.1820072986771,97.112408224363,0.532112106690407
1000,31.1884816515732,1.375,162.274490777478,172.364124258857,97.1124700092584,1.06422499363065
1500,46.7826885922241,1.375,243.411448631629,258.545895159973,97.1123606210631,1.59633364492893
2000,61.4072848602295,1.38666661580404,323.759118961137,344.423256185245,97.0265514375509,2.17958510917187
