"state","gastric_min","Cmax","Tmax","AUC24","AUC96","F","Clast"
"fasted",15,31.1822895888901,1.375,162.242261117184,172.329891122916,97.11247022842,1.06401354592562
"fed",90,21.1418421139526,2.65500005086263,160.817067541429,172.388173561539,97.1453139303963,1.19552276056409
