"regimen","daily_mg","Cmax_ss","Cmin_ss","AUC_tau","t_ss_h"
"7 x 999.801 mg / 24h",999.801388339949,32.1769574276352,1.21485333873868,172.283549267524,145.4
"14 x 499.901 mg / 12h",999.801388339949,17.5910811691093,2.36258668868065,172.197820465088,169.4
