"IndividualId","Cmax","AUC24","Ctrough","Cmax_MIC","AUC_MIC"
0,10.654177726984,80.6527611721831,1.81533561738849,10.654177726984,80.6527611721831
1,20.5895411542702,141.933181387972,1.96645117278576,20.5895411542702,141.933181387972
2,10.7740722540569,74.2676711925177,1.1246349453187,10.7740722540569,74.2676711925177
3,22.2852781822014,135.183410641352,1.36384449676633,22.2852781822014,135.183410641352
4,12.3544152359581,88.417402205349,1.54968774617076,12.3544152359581,88.417402205349
5,9.01995559597015,62.9268333574612,1.25745821214199,9.01995559597015,62.9268333574612
6,9.7248020860672,89.4457942511265,2.06603356739283,9.7248020860672,89.4457942511265
7,14.1207314345932,102.497915252789,1.65864952403307,14.1207314345932,102.497915252789
8,24.7927050997925,147.583093593965,1.65669466380596,24.7927050997925,147.583093593965
9,19.710906720562,117.038462928554,1.38743624221325,19.710906720562,117.038462928554
10,30.4120126852798,115.930437627339,0.670702200037241,30.4120126852798,115.930437627339
11,6.08227350602627,42.8293466279821,1.03019094172597,6.08227350602627,42.8293466279821
12,5.35943579232693,109.246863347873,3.93414940773487,5.35943579232693,109.246863347873
13,3.17791098206758,24.8379472234911,0.674736649000645,3.17791098206758,24.8379472234911
14,24.7231728014374,116.495433041432,1.03901133170724,24.7231728014374,116.495433041432
15,14.7469278497028,116.145364011117,2.2279612676692,14.7469278497028,116.145364011117
16,17.6203454423142,122.760051606818,1.66941307049394,17.6203454423142,122.760051606818
17,14.0962369400883,60.8129611126779,0.880060618940592,14.0962369400883,60.8129611126779
18,23.3733905245018,105.573063559864,0.968503052273989,23.3733905245018,105.573063559864
19,17.6812958842087,102.081539483376,1.49321939371586,17.6812958842087,102.081539483376
20,33.6762855087662,156.473100883203,0.501920506557822,33.6762855087662,156.473100883203
21,22.6026178278542,114.664954821876,0.724238317883611,22.6026178278542,114.664954821876
22,19.4792857675362,91.5306159844254,0.990376910514831,19.4792857675362,91.5306159844254
23,11.6440240676117,94.7180283358884,1.58505870043397,11.6440240676117,94.7180283358884
24,20.5967836561584,110.472729281853,1.49373948596239,20.5967836561584,110.472729281853
25,5.92660875970364,55.3257941756397,1.46340426412821,5.92660875970364,55.3257941756397
26,6.00411164450645,133.243066854077,5.01425995359421,6.00411164450645,133.243066854077
27,7.84622354130745,46.7110994020431,1.01355545794249,7.84622354130745,46.7110994020431
28,32.4910084317017,138.358356093391,0.591383060817122,32.4910084317017,138.358356093391
29,28.5759305591965,154.978655058662,0.793497138671875,28.5759305591965,154.978655058662
30,17.4907651167297,86.3609788023926,1.13042930351496,17.4907651167297,86.3609788023926
31,8.44108066451073,48.510694431178,1.04127583965421,8.44108066451073,48.510694431178
32,2.48256548273563,31.2782006814419,1.03102536319137,2.48256548273563,31.2782006814419
33,33.608896891098,356.316964372172,5.78532557832241,33.608896891098,356.316964372172
34,14.3563686679077,82.3911739212476,1.41414530867577,14.3563686679077,82.3911739212476
35,29.6992549077225,146.48369883262,0.891852869075537,29.6992549077225,146.48369883262
36,38.7983554800034,115.678567289957,0.23339391751036,38.7983554800034,115.678567289957
37,19.2723831292534,260.029656608298,6.2038074494648,19.2723831292534,260.029656608298
38,12.6778122954655,56.2955623449363,0.751666718961,12.6778122954655,56.2955623449363
39,19.5465959143639,119.069106431658,1.45137637854338,19.5465959143639,119.069106431658
40,24.6494530136871,137.867366792612,1.38560042581797,24.6494530136871,137.867366792612
41,5.06502479122639,51.0868253036396,1.46977422377348,5.06502479122639,51.0868253036396
42,18.8990598892212,102.186602540914,1.21523510383606,18.8990598892212,102.186602540914
43,34.9253558122635,191.87568982767,1.22852130947471,34.9253558122635,191.87568982767
44,9.34237444511414,93.3965245944733,2.02675088631868,9.34237444511414,93.3965245944733
45,29.162102387104,180.653145713322,1.33824840095997,29.162102387104,180.653145713322
46,20.6336703014565,113.36718816172,1.15691967709541,20.6336703014565,113.36718816172
47,26.2981396390533,112.03588262024,1.0600295902729,26.2981396390533,112.03588262024
48,8.93030533589363,63.0921593509854,1.41886448260069,8.93030533589363,63.0921593509854
49,6.67811731087685,73.485795307266,1.64025792080164,6.67811731087685,73.485795307266
50,14.4463051682091,141.297686533038,3.18130997327328,14.4463051682091,141.297686533038
51,39.4012968832016,151.211195773262,0.292097309547961,39.4012968832016,151.211195773262
52,45.4025969531631,231.692993880335,0.515086442257762,45.4025969531631,231.692993880335
53,12.8717387102222,88.1968963455716,1.42954732893586,12.8717387102222,88.1968963455716
54,31.0480545157242,134.694104381264,0.793941546684504,31.0480545157242,134.694104381264
55,29.2026557607651,106.128641022675,0.543174934694767,29.2026557607651,106.128641022675
56,20.1472670134735,105.087162546391,1.04346087358236,20.1472670134735,105.087162546391
57,9.83059415471077,95.8602821068899,2.45848006207228,9.83059415471077,95.8602821068899
58,12.846776957531,83.1066522118373,1.24049948199868,12.846776957531,83.1066522118373
59,19.1622564383888,133.360157303273,1.70507271719575,19.1622564383888,133.360157303273
60,21.3487554528046,113.017477032004,1.39246729314327,21.3487554528046,113.017477032004
