"molecule","mult","F96","Cmax_ss_MIC","AUC_ss_MIC","Cmin_ss"
"A",53.4044473188476,80.861632317606,11.2542775820484,80.8150201832463,1.2246307742312
"A",37.8211958374553,70.3503735342925,8.91995854544051,71.4624322364962,1.29394813617231
"A",29.1431709446594,61.6734851475787,7.37064295862442,63.6378244821275,1.27410255490512
"A",36.1242339169032,68.8589066631438,8.6179702874737,70.1393193821182,1.29884855415149
"A",54.0554287151218,81.1267982156252,11.3458631816453,81.0553718097018,1.21736207585049
"A",53.8345192855236,81.0371742837551,11.3149079886892,80.9741349012032,1.21981883719622
"A",46.991463534049,77.4037809913175,10.3481137876932,77.7196641295302,1.27077320323515
"A",158.281471158507,97.9885859079548,19.5295311095714,96.4910978646658,0.492010194746774
"A",17.4242172432122,44.8617128558376,4.89081304420444,47.9591953856215,1.10041318294227
"A",48.5839912205163,78.4866038352394,10.567360886404,78.6802599372693,1.26721544098427
"A",125.72315002732,96.2841841662969,17.7574117454412,94.8700323340686,0.670695827096702
"A",743.144801397909,100,24.2184265861027,98.8031963746224,0
"A",20.8343808155101,50.2064838075231,5.60930988439614,53.1218485326211,1.18120524086354
"A",86.3532468218183,91.378849718997,14.8868173203524,90.3480345229226,0.936333969603897
"A",14.9026653617891,40.3850720770896,4.31937226357897,43.557725915596,1.02163688276852
"A",111.978461167553,95.4273250610797,16.8665087525765,94.0550690973524,0.760527002052912
"A",116.430816054457,95.7158962372396,17.1665451563797,94.329530672557,0.730273851149684
"A",25.1412479321659,56.6266480605848,6.59544804777067,59.0095510692244,1.23321674737064
"A",16.0058537414483,42.4302026816376,4.58043208206876,45.5685148895218,1.05762543542685
"A",173.071980747289,98.6497392857551,20.216952786529,97.1199243467061,0.422696366612796
"A",105.182318923589,94.9639370319355,16.384709843621,93.6143382866655,0.809107557321812
"A",125.647905909808,96.2797533964019,17.7528049365316,94.8658182053363,0.671160339013783
"A",154.345894400166,97.8022372629334,19.335778642503,96.3138606806532,0.511546566166355
"A",219.379505444235,99.7778183386043,21.9262335073759,98.2752440340327,0.273855568769529
"A",115.169360620084,95.6352731878904,17.0827188709124,94.252849662982,0.738726189705111
"A",270.298920938571,99.9083049250074,23.2724312463835,98.5853087723838,0.191171638542578
"A",57.1328513696177,82.338593291028,11.7644048546072,82.1537668879509,1.18414448275828
"A",62.9086081931168,84.4462662250916,12.4923736125147,84.0642034166395,1.12636918451165
"A",77.6336576201587,89.0492206858187,14.082187187157,88.2364125860709,1.00019350398449
"A",27.9641068221171,60.2624273488983,7.15390427544471,62.3437939475314,1.26267118975851
"A",39.0537581027735,71.3923017800121,9.13092541432508,72.3867495525015,1.29052473870563
"A",68.549356113057,86.3256118516777,13.1414804446773,85.7676795476058,1.07485276926065
"A",84.2212788781839,90.831733952931,14.6978491089105,89.8521179468632,0.951331446702467
"A",98.1706745255365,94.1859323831233,15.856355073256,92.892429895622,0.859386528897262
"A",98.2410735751459,94.201621173823,15.8617738217222,92.9066505265174,0.858956469495182
"A",50.2003534700201,79.5075222168195,10.7865817492613,79.587627944821,1.26174949111906
"A",99.6265301447372,94.5081105569468,15.96763213206,93.1844585790439,0.850555016293777
"A",34.0036155092073,66.8933705495374,8.21999374612301,68.3956493429347,1.30530659133365
"A",119.953824923783,95.936518096209,17.3959325472009,94.5393652920193,0.707144353322593
"A",99.9710254844896,94.5836578103077,15.9937253836758,93.252936107094,0.848484123308391
"A",86.3468191264489,91.377220599662,14.886254639132,90.3465578568627,0.936378626843611
"A",25.5214600699938,57.139489188605,6.67422051965059,59.4798592874104,1.23737141360903
"A",494.740203289973,100,24.2184265861027,98.8031963746224,0
"A",207.36333987482,99.7426027311776,21.5629228223286,98.1915640297991,0.296170236565145
"A",20.2552450029926,49.2432890466874,5.4613630289914,52.238537138538,1.17340213667553
"A",112.370075896965,95.4531630148603,16.8933732746578,94.0796437121461,0.757818209285883
"A",136.514138971367,96.893628454241,18.3910698775748,95.4496780266648,0.606803063253707
"A",52.4551129008944,80.4690860076992,11.1186960859701,80.4592084263425,1.23539121042789
"A",56.0488859439596,81.919372832824,11.6196103794702,81.7737771542581,1.19563610776915
"A",21.1747270516912,50.7601195392054,5.69434841333399,53.6295680197395,1.18569039534339
"A",27.0863382944913,59.1727621150672,6.986531536987,61.3445010153894,1.25384351367952
"A",91.0679226367408,92.5422757308248,15.2886528115521,91.4025869231078,0.904442263953133
"A",73.49287158204,87.8496083802157,13.6678533187627,87.1490602118724,1.03307714433324
"A",140.042438539281,97.0824827742285,18.5874275726356,95.6292983714189,0.587004002525129
"A",176.739911191405,98.8049509439406,20.3783311624639,97.2675469774989,0.406424326627678
"A",321.966745351286,100,24.2184265861027,98.8031963746224,0
"A",225.024885527097,99.7937023034867,22.0901044323542,98.3129878171371,0.263790559941687
"A",39.6573670347395,71.890617565226,9.23182307340498,72.8288163752451,1.28888745417695
"A",31.3225784494955,64.1375622601628,7.74912556162917,65.8975412890968,1.29406471751085
"A",117.854240939041,95.8058288493762,17.2600508830747,94.4150660566439,0.720845519040103
"A",90.9817030264115,92.5215453913838,15.2814927635152,91.3837965324927,0.905010521733834
"A",16.8856361824554,43.9625612253404,4.77603682359027,47.0751422202783,1.08459064049437
"A",206.694109803268,99.7405818725488,21.5420741252175,98.1867620266258,0.297450770744712
"A",87.0626519336628,91.5579094552766,14.9486627289564,90.51033781746,0.931425603841676
"A",30.4310336974163,63.150946441851,7.59758122838844,64.9927512826174,1.28607187293065
"A",49.2640454777162,78.9382257776322,10.6588040999819,79.0809036316471,1.26573157544953
"A",143.996514491326,97.2885538604451,18.801686073637,95.8252936737903,0.565399974877379
"A",194.989946210443,99.5322406648541,21.1345168470139,97.9592760860269,0.330176913528564
"A",699.665451510823,100,24.2184265861027,98.8031963746224,0
"A",106.330244415776,95.0442718280328,16.4682364232401,93.6907451370447,0.800685438586832
"A",122.706079464063,96.1044105197481,17.570495508252,94.6990486659537,0.68954289051391
"A",142.064495752625,97.1885812184221,18.6977414164109,95.7302091640617,0.575880881063374
"A",108.629797125582,95.2026240270177,16.6328801168689,93.8413547528382,0.784084151391417
"A",107.094882255378,95.0973033383915,16.5233749296843,93.7411836876381,0.795125734714605
"A",233.661103800929,99.817246299348,22.3330019965361,98.3689335133018,0.248871707631092
"A",104.839237699612,94.939757083866,16.3595692015117,93.5913406098919,0.811642528511629
"A",1451.48460274922,100,24.2184265861027,98.8031963746224,0
"A",42.5183410747715,74.1538159187176,9.69006947594017,74.836549092235,1.28145140707699
"A",79.9626715207832,89.6961364261822,14.3056252929333,88.8227898372089,0.982460320986368
"A",122.753367772863,96.1072621678747,17.573460455272,94.7017608836019,0.689243930159501
