"molecule","mult","F96","Cmax_ss_MIC","AUC_ss_MIC","Cmin_ss"
"B",90.3622753327667,92.3720322785888,27.6619729691667,165.734193441699,1.65121412119898
"B",63.9948446853878,84.8209385990891,22.9249353092871,153.30260254593,2.0271694910307
"B",49.3113096227437,78.9693816619838,19.3710381256634,143.684804289198,2.29876166252966
"B",61.1235231383519,83.8162600430008,22.2946689719505,151.648570253237,2.07719062891456
"B",91.4637596307961,92.637198176608,27.8283198453078,166.170743973794,1.63801198817192
"B",91.089972807729,92.5475742447378,27.7720959447027,166.023193419825,1.64247420250565
"B",79.511272550045,89.5722390513536,25.9055749531687,161.124810288604,1.79061078913534
"B",267.818030051078,99.9025405161304,42.1616892858551,179.035565455893,0.35385928225538
"B",29.4824119532346,62.0689092479361,13.497611853119,116.24399032365,2.31997020122647
"B",82.2058875587994,90.3016477377786,26.3631558763691,162.325657579119,1.75429484284959
"B",212.728161582567,99.7585709221858,39.4639422550286,178.414203375856,0.519555836931863
"B",1257.42814554571,100,43.987915407855,179.456193353474,0
"B",35.2525332656034,68.0652938274863,15.3609562171875,126.115277063422,2.36383398558809
"B",146.112847467623,97.3965359827486,34.3534127104235,174.233968510212,1.00637407205877
"B",25.2158540762356,56.7278878654009,12.007553075032,107.347647830008,2.2413806032261
"B",189.471646040065,99.3197675000936,37.9853640887579,177.556335675425,0.640158600438778
"B",197.005193120283,99.6083386762536,38.5303200504034,178.054840089404,0.585209818443343
"B",42.5399097249706,74.1702931077033,17.6061277103411,135.952133909693,2.32740118245375
"B",27.082489105927,59.1679063589158,12.6882788603368,111.411896716955,2.27728386194471
"B",292.844112463166,99.9583876682486,43.2081705926312,179.276597618682,0.289584038844951
"B",177.972325150491,98.8563794709494,37.1102729850735,176.755836536919,0.728395437296765
"B",212.600845787624,99.7581966582274,39.4569291805659,178.412588080394,0.519986582388306
"B",261.15889043847,99.8867997796009,41.8667344688551,178.967629605528,0.371975509019294
"B",371.198135521609,100,43.987915407855,179.456193353474,0
"B",194.870764453691,99.5277156269043,38.378066412415,177.915564412242,0.600561796494139
"B",457.355646247478,100,43.987915407855,179.456193353474,0
"B",96.6708711576802,93.8489932520107,28.588516864691,168.165758373869,1.57767889139547
"B",106.443662648698,95.0521619996415,29.9261494077551,170.184081081576,1.45278211816983
"B",131.358984076345,96.6087313064002,32.8656728027126,172.873042191308,1.15638526857433
"B",47.3162900649147,77.6275924949574,18.8775824102152,141.52280764545,2.3067690575065
"B",66.0803850546851,85.5227999583367,23.3652349310222,154.458097849531,1.99222507660728
"B",115.988014144017,95.6876954910315,31.1263308311638,171.281960138332,1.33176590395918
"B",142.505479841981,97.2115192470915,34.0040154683211,173.914353569412,1.0416043553061
"B",166.108366745502,98.3457999291539,36.1460624603138,175.873814435268,0.825618328046965
"B",166.227484508597,98.3511053672744,36.1560815833996,175.882979537467,0.824608083827295
"B",84.9408315187122,91.0179221778022,26.812497275273,163.504881567777,1.71863282706356
"B",168.571727624822,98.4547500960434,36.3518108089841,176.062024982908,0.804872392682085
"B",57.5353593420323,82.4922400310533,21.4640697335836,149.468796590645,2.14311120338812
"B",202.966252796627,99.729203818342,38.9136523290242,178.287457135701,0.553354834306415
"B",169.154626321549,98.4802977169888,36.4000565434518,176.106158295103,0.800007698042413
"B",146.101971572302,97.3959850676406,34.3523723276782,174.233016808741,1.00647897551646
"B",43.1832425485113,74.657958935869,17.785471452302,136.737899594552,2.32449093917649
"B",837.118493165265,100,43.987915407855,179.456193353474,0
"B",350.866344516548,100,43.987915407855,179.456193353474,0
"B",34.2726143192781,67.1493821638859,15.0241210001833,124.639487877359,2.36929987146239
"B",190.134272465017,99.3456054538742,38.034158106015,177.600970535286,0.63523862156774
