parameter,value
F_oral,0.24809788962518006
Cmax,8.976996991902327
Tmax,1.2000000000000002
AUC,45.00421219811019
t_half,2.500000000001022
Ctrough,0.01889858946988971
Cmax_MIC,8.976996991902327
AUC_MIC,45.00421219811019
Ka,1.879037389924873
fitness,0.5560367562025477
