"regimen","MIC","PTA_Cmax","PTA_AUC"
"QD 550",0.25,31.6666666666667,100
"QD 550",0.5,11,100
"QD 550",1,0,0
"QD 550",2,0,0
"QD 550",4,0,0
"BID 275",0.25,40.6666666666667,100
"BID 275",0.5,0,0
"BID 275",1,0,0
"BID 275",2,0,0
"BID 275",4,0,0
"BID 550",0.25,100,100
"BID 550",0.5,40.6666666666667,100
"BID 550",1,0,0
"BID 550",2,0,0
"BID 550",4,0,0
"TID 200",0.25,55.3333333333333,0
"TID 200",0.5,0,0
"TID 200",1,0,0
"TID 200",2,0,0
"TID 200",4,0,0
