"t_h","c_mgL"
0,0
0.00166666669150194,1.81513461944733e-13
0.00333333338300387,6.242528914846e-11
0.00500000019868215,1.70568557934514e-09
0.00666666676600774,1.64469955262092e-08
0.00833333333333333,9.05371013001854e-08
0.0100000003973643,3.50677241285098e-07
0.0116666664679845,1.06825569407079e-06
0.0133333335320155,2.73707408303153e-06
0.0149999996026357,6.1542373191287e-06
0.0166666666666667,1.24997009205799e-05
0.0183333337306976,2.34080715962955e-05
0.0200000007947286,4.10291757354571e-05
0.0216666658719381,6.80715663312731e-05
0.023333332935969,0.000107833489197292
0.025,0.000164215608425293
0.026666667064031,0.000241719314079673
0.0283333341280619,0.000345432945639186
0.0299999992052714,0.000481004538222915
0.0316666662693024,0.000654603540766402
0.0333333333333333,0.000872876254808507
0.0349999984105428,0.0011428966334695
0.0366666674613953,0.00147211308012484
0.0383333325386047,0.00186829560084734
0.0400000015894572,0.00233947789523983
0.0416666666666667,0.00289390178758185
0.0433333317438761,0.00353996584877139
0.0450000007947286,0.00428617837233935
0.0466666658719381,0.00514111013276037
0.0483333349227905,0.00611335585190915
0.05,0.00721149392388761
0.0516666650772095,0.00844405615421943
0.0533333341280619,0.00981949641052634
0.0549999992052714,0.0113461701583862
0.0566666682561239,0.0130323048536386
0.0583333333333333,0.0148859982007556
0.0599999984105428,0.0169151737412997
0.0616666674613953,0.0191276104616187
0.0633333325386047,0.0215308861899003
0.0650000015894572,0.024132432457488
0.0666666666666667,0.0269394665753469
0.0683333317438761,0.0299590508494526
0.0699999968210856,0.033198045556806
0.071666669845581,0.0366631315866113
0.0733333349227905,0.0403608086986467
0.075,0.0442973885567486
0.0766666650772095,0.0484790156283602
0.0783333301544189,0.0529116602180153
0.0800000031789144,0.057601111500822
0.0816666682561239,0.0625529914554954
0.0833333333333333,0.0677728001467138
0.0849999984105428,0.0732658356101811
0.0866666634877523,0.0790372391349822
0.0883333365122477,0.0850920823450386
0.0900000015894572,0.0914352139357477
0.0916666666666667,0.0980713781047612
0.0933333317438761,0.105005207585469
0.0949999968210856,0.112241195780933
0.0966666698455811,0.119783717663437
0.0983333349227905,0.127637015841454
0.1,0.135805256291777
0.101666665077209,0.144292451727837
0.103333330154419,0.153102517331839
0.105000003178914,0.162239284687787
0.106666668256124,0.171706473915428
0.108333333333333,0.181507693670243
0.109999998410543,0.191646469009519
0.111666663487752,0.202126213526279
0.113333336512248,0.212950271148384
0.115000001589457,0.224121888272464
0.116666666666667,0.235644227696955
0.118333331743876,0.247520382555127
0.119999996821086,0.259753306649923
0.121666669845581,0.272345925918221
0.123333334922791,0.285301082698703
0.125,0.298621535731852
0.126666665077209,0.312309988026023
0.128333330154419,0.326369003259242
0.130000003178914,0.340801061511338
0.131666668256124,0.355608670728207
0.133333333333333,0.370794227391481
0.135000006357829,0.386360072250664
0.136666663487752,0.402308323126733
0.138333336512248,0.418641181438863
0.139999993642171,0.435360709275901
0.141666666666667,0.45246899659276
0.143333339691162,0.469967994014025
0.144999996821086,0.487859457101822
0.146666669845581,0.506145280748606
0.148333326975505,0.524827136918306
0.15,0.543906753306985
0.151666673024495,0.563385690414309
0.153333330154419,0.583265508739948
0.155000003178914,0.603547657319307
0.156666660308838,0.624233473723531
0.158333333333333,0.645324351255894
0.160000006357829,0.666821571755409
0.161666663487752,0.688726249864697
0.163333336512248,0.711039555958509
0.164999993642171,0.733762548947334
0.166666666666667,0.75689623200953
0.168333339691162,0.780441552591324
0.169999996821086,0.80439929094255
0.171666669845581,0.828770394509435
0.173333326975505,0.85355547634542
0.175,0.878755316700339
0.176666673024495,0.904370472895503
0.178333330154419,0.930401502252221
0.180000003178914,0.956848906359672
0.181666660308838,0.983713131074905
0.183333333333333,1.01099445505857
0.185000006357829,1.03869321270347
0.186666663487752,1.06680973840237
0.188333336512248,1.09534414361954
0.189999993642171,1.12429653981924
0.191666666666667,1.15366692700148
0.193333339691162,1.18345552809477
0.194999996821086,1.21366200870633
0.196666669845581,1.24428648030043
0.198333326975505,1.27532860848427
0.2,1.30678817032933
0.201666673024495,1.3386649429071
0.203333330154419,1.37095859182477
0.205000003178914,1.40366867122531
0.206666660308838,1.43679484671593
0.208333333333333,1.47033633804679
0.210000006357829,1.50429281082511
0.211666663487752,1.53866359626532
0.213333336512248,1.57344802558184
0.214999993642171,1.60864520706058
0.216666666666667,1.64425458338022
0.218333339691162,1.68027526282668
0.219999996821086,1.71670635368586
0.221666669845581,1.75354696424365
0.223333326975505,1.79079609132171
0.225,1.82845273174167
0.226666673024495,1.86651577086091
0.228333330154419,1.90498420550108
0.230000003178914,1.94385669809103
0.231666660308838,1.98313202252388
0.233333333333333,2.02280928708553
0.235000006357829,2.0628867083478
0.236666663487752,2.10336339459658
0.238333336512248,2.1442377853322
0.239999993642171,2.18550832005501
0.241666666666667,2.22717366119385
0.243333339691162,2.26923247117758
0.244999996821086,2.31168296657801
0.246666669845581,2.35452358689547
0.248333326975505,2.39775277163029
0.25,2.44136873735428
0.251666673024495,2.4853701464963
0.253333330154419,2.5297547697711
0.255000003178914,2.57452126960754
0.256666660308838,2.61966763964891
0.258333333333333,2.66519209646702
0.260000006357829,2.71109285663366
0.261666663487752,2.75736791379213
0.263333336512248,2.80401526158571
0.264999993642171,2.85103289365768
0.266666666666667,2.89841902657986
0.268333339691162,2.94617143106699
0.270000012715658,2.99428832369089
0.271666653951009,3.04276747516632
0.273333326975505,3.09160665620804
0.275,3.14080386045933
0.276666673024495,3.19035685863495
0.278333346048991,3.24026342144966
0.279999987284342,3.29052154254675
0.281666660308838,3.34112876971245
0.283333333333333,3.39208287366152
0.285000006357829,3.44338140218019
0.286666679382324,3.49502257184029
0.288333320617676,3.54700348457098
0.289999993642171,3.59932191108704
0.291666666666667,3.65197584503174
0.293333339691162,3.70496238833427
0.295000012715658,3.7582793117094
0.296666653951009,3.81192438587189
0.298333326975505,3.86589493567944
0.3,3.92018828598976
0.301666673024495,3.97480220751762
0.303333346048991,4.02973447097778
0.304999987284342,4.0849819553709
0.306666660308838,4.14054287726879
0.308333333333333,4.19641411567211
0.310000006357829,4.25259299543858
