"MIC","Cmax_MIC","AUC_tau_MIC","Cmin_MIC","fT_MIC_pct"
0.25,128.707829710541,689.134197070095,4.85941335495472,99.5833333333334
0.5,64.3539148552704,344.567098535047,2.42970667747736,99.5833333333334
1,32.1769574276352,172.283549267524,1.21485333873868,99.5833333333334
2,16.0884787138176,86.1417746337618,0.60742666936934,74.1666666666667
4,8.0442393569088,43.0708873168809,0.30371333468467,44.5833333333334
8,4.0221196784544,21.5354436584405,0.151856667342335,27.0833333333333
