"regimen","daily_mg","Cmax_ss","Cmin_ss","AUC_tau","t_ss_h"
"7 x 550.57 mg / 24h",550.57,13.5814566344261,1.05351160608768,87.2510938488789,145.5
"14 x 275.285 mg / 12h",550.57,7.76670672021866,1.60544217002749,87.2092405511282,169.5
