"t_h","c_mgL"
0,0
0.00166666669150194,3.55603192357139e-14
0.00333333338300387,1.2361612976965e-11
0.00500000019868215,3.31944293626707e-10
0.00666666676600774,3.20892041290044e-09
0.00833333333333333,1.76577029321479e-08
0.0100000003973643,6.8513370137282e-08
0.0116666664679845,2.09262133043495e-07
0.0133333335320155,5.37574909867544e-07
0.0149999996026357,1.21203268214231e-06
0.0166666666666667,2.46852665486131e-06
0.0183333337306976,4.63508816071226e-06
0.0200000007947286,8.14612482228767e-06
0.0216666658719381,1.35517052720297e-05
0.023333332935969,2.15252787020836e-05
0.025,3.28681263083854e-05
0.026666667064031,4.8510428548725e-05
0.0283333341280619,6.95097233587876e-05
0.0299999992052714,9.70473761216999e-05
0.0316666662693024,0.000132422591117211
0.0333333333333333,0.000177044475543807
0.0349999984105428,0.000232422770106059
0.0366666674613953,0.000300158236038405
0.0383333325386047,0.000381932402624516
0.0400000015894572,0.000479497267093975
0.0416666666666667,0.000594664940093062
0.0433333317438761,0.000729296787715866
0.0450000007947286,0.000885294015822001
0.0466666658719381,0.00106458787337295
0.0483333349227905,0.00126913165182341
0.05,0.0015008929566422
0.0516666650772095,0.0017618462509627
0.0533333341280619,0.00205396763069555
0.0549999992052714,0.00237922818456776
0.0566666682561239,0.00273958953119814
0.0583333333333333,0.00313700033583911
0.0599999984105428,0.00357339358908124
0.0616666674613953,0.0040506778987078
0.0633333325386047,0.00457074750406202
0.0650000015894572,0.0051354602879798
0.0666666666666667,0.00574666107107885
0.0683333317438761,0.00640615809976589
0.0699999968210856,0.00711573654386215
0.071666669845581,0.00787715588415973
0.0733333349227905,0.00869214338131249
0.075,0.0095624032193888
0.0766666650772095,0.0104896082331333
0.0783333301544189,0.0114754060036689
0.0800000031789144,0.0125214153752383
0.0816666682561239,0.0136292281968333
0.0833333333333333,0.0148004093221948
0.0849999984105428,0.0160365009638853
0.0866666634877523,0.0173390148559585
0.0883333365122477,0.0187094400912896
0.0900000015894572,0.0201492396383174
0.0916666666666667,0.021659862532448
0.0933333317438761,0.0232427194932476
0.0949999968210856,0.024899202082362
0.0966666698455811,0.0266306966365501
0.0983333349227905,0.0284385459518433
0.1,0.0303240858577564
0.101666665077209,0.0322886260593683
0.103333330154419,0.0343334588454664
0.105000003178914,0.0364598556052893
0.106666668256124,0.0386690772783011
0.108333333333333,0.0409623464881256
0.109999998410543,0.0433408823751286
0.111666663487752,0.0458058901466429
0.113333336512248,0.0483585401774198
0.115000001589457,0.050999999358952
0.116666666666667,0.0537314067166671
0.118333331743876,0.0565538873429596
0.119999996821086,0.0594685523971915
0.121666669845581,0.0624764921391755
0.123333334922791,0.0655787794124335
0.125,0.0687764800939709
0.126666665077209,0.0720706321947276
0.128333330154419,0.0754622458595783
0.130000003178914,0.0789523451664299
0.131666668256124,0.0825419193606079
0.133333333333333,0.0862319437544048
0.135000006357829,0.0900233866935968
0.136666663487752,0.0939171677583456
0.138333336512248,0.0979142274283618
0.139999993642171,0.102015478317291
0.141666666666667,0.106221812139228
0.143333339691162,0.110534113641754
0.144999996821086,0.114953239706382
0.146666669845581,0.119480019348562
0.148333326975505,0.12411530248329
0.15,0.128859890259951
0.151666673024495,0.133714590794444
0.153333330154419,0.138680156470537
0.155000003178914,0.143757381471097
0.156666660308838,0.148946976380795
0.158333333333333,0.154249707516432
0.160000006357829,0.159666257596612
0.161666663487752,0.165197337206006
0.163333336512248,0.170843615130186
0.164999993642171,0.176605774087757
0.166666666666667,0.182484441065192
0.168333339691162,0.188480243048966
0.169999996821086,0.194593807025552
0.171666669845581,0.200825732115358
0.173333326975505,0.207176575639695
0.175,0.213646922785938
0.176666673024495,0.220237303009331
0.178333330154419,0.226948259698153
0.180000003178914,0.233780294441581
0.181666660308838,0.240733908828795
0.183333333333333,0.247809604448974
0.185000006357829,0.255007799293101
0.186666663487752,0.262328967084289
0.188333336512248,0.269773553679585
0.189999993642171,0.277341921337843
0.191666666666667,0.285034515916109
0.193333339691162,0.292851699673235
0.194999996821086,0.300793834868073
0.196666669845581,0.308861283759475
0.198333326975505,0.31705435287416
0.2,0.325373376604915
0.201666673024495,0.33381866147846
0.203333330154419,0.342390430423319
0.205000003178914,0.351089017832279
0.206666660308838,0.359914674499929
0.208333333333333,0.368867595488727
0.210000006357829,0.377948003727198
0.211666663487752,0.387156122143865
0.213333336512248,0.396492117935121
0.214999993642171,0.405956186163425
0.216666666666667,0.41554843829304
0.218333339691162,0.425269041520357
0.219999996821086,0.43511816304177
0.221666669845581,0.445095858589411
0.223333326975505,0.45520223962754
0.225,0.465437389754355
0.226666673024495,0.475801364701986
0.228333330154419,0.486294220202565
0.230000003178914,0.496915928390026
0.231666660308838,0.507666600728631
0.233333333333333,0.518546292950511
0.235000006357829,0.529554837859273
0.236666663487752,0.540692346919179
0.238333336512248,0.551958708665967
0.239999993642171,0.563353867367506
0.241666666666667,0.574877823023796
0.243333339691162,0.586530464170575
0.244999996821086,0.598311735075712
0.246666669845581,0.610221468542814
0.248333326975505,0.62225960883975
0.25,0.634425988770127
0.251666673024495,0.646720496869683
0.253333330154419,0.659142910209894
0.255000003178914,0.671693173058629
0.256666660308838,0.684371006755233
0.258333333333333,0.697176299835443
0.260000006357829,0.710108773638606
0.261666663487752,0.723168260968327
0.263333336512248,0.736354483163953
0.264999993642171,0.749667273029089
0.266666666666667,0.763106351903081
0.268333339691162,0.776671441125274
0.270000012715658,0.790362262035012
0.271666653951009,0.804178535971641
0.273333326975505,0.818119984274507
0.275,0.832186272550821
0.276666673024495,0.8463770664078
0.278333346048991,0.860692087184787
0.279999987284342,0.875131000488997
0.281666660308838,0.889693416195512
0.283333333333333,0.904379055643678
0.285000006357829,0.919187417244315
0.286666679382324,0.934118222336769
0.288333320617676,0.949171025063991
0.289999993642171,0.964345546765327
0.291666666666667,0.979641230119467
0.293333339691162,0.995057629269361
0.295000012715658,1.01059440982223
0.296666653951009,1.02625123738527
0.298333326975505,1.04202744317293
0.3,1.05792280425668
0.301666673024495,1.0739367633152
0.303333346048991,1.09006876302719
0.304999987284342,1.10631846899986
0.306666660308838,1.12268532391191
0.308333333333333,1.13916877044201
0.310000006357829,1.15576847419739
0.311666679382324,1.17248376639247
0.313333320617676,1.18931420117021
0.314999993642171,1.20625922120929
0.316666666666667,1.22331838065267
0.318333339691162,1.24049112217903
0.320000012715658,1.25777677700281
0.321666653951009,1.27517501073122
0.323333326975505,1.29268504311442
0.325,1.31030642829537
0.326666673024495,1.32803860895276
0.328333346048991,1.34588091630101
0.329999987284342,1.36383290448308
0.331666660308838,1.38189390471339
0.333333333333333,1.40006335967064
0.335000006357829,1.41834048910499
0.336666679382324,1.43672495862365
0.338333320617676,1.45521598797679
0.339999993642171,1.4738130198431
0.341666666666667,1.49251538543701
0.343333339691162,1.51132252743721
0.345000012715658,1.53023377705812
0.346666653951009,1.54924846551418
0.348333326975505,1.56836592401981
0.35,1.58758570671797
0.351666673024495,1.60690692189455
0.353333346048991,1.62632901222825
0.354999987284342,1.6458513089335
0.356666660308838,1.66547325468898
0.358333333333333,1.6851939577806
0.360000006357829,1.70501286088705
0.361666679382324,1.72492929522276
0.363333320617676,1.74494259200215
0.364999993642171,1.7650519709754
0.366666666666667,1.78525687482119
0.368333339691162,1.80555652328968
0.370000012715658,1.82595035905957
0.371666653951009,1.84643749041677
0.373333326975505,1.86701724857569
0.375,1.88768918767929
0.376666673024495,1.90845208162069
0.378333346048991,1.92930570747137
0.379999987284342,1.95024917351723
0.381666660308838,1.97128181097269
0.383333333333333,1.99240272812366
0.385000006357829,2.01361125618458
0.386666679382324,2.03490694929838
0.388333320617676,2.05628869282246
0.389999993642171,2.07775604089975
0.391666666666667,2.09930810181618
0.393333339691162,2.12094398385763
0.395000012715658,2.14266346409559
0.396666653951009,2.16446542788744
0.398333326975505,2.1863492064476
0.4,2.20831390806198
0.401666673024495,2.23035908687353
0.403333346048991,2.25248362823963
0.404999987284342,2.27468708630323
0.406666660308838,2.29696879227877
0.408333333333333,2.31932763152361
0.410000006357829,2.34176315818071
0.411666679382324,2.36427470346451
0.413333320617676,2.38686092980385
0.414999993642171,2.40952183719873
0.416666666666667,2.43225608807802
0.418333339691162,2.45506323658466
0.420000012715658,2.47794239100456
0.421666653951009,2.50089265962362
0.423333326975505,2.5239135965848
0.425,2.54700431017399
0.426666673024495,2.57016413160563
0.428333346048991,2.59339216916561
0.429999987284342,2.61668753113985
0.431666660308838,2.6400497716713
0.433333333333333,2.66347777611732
0.435000006357829,2.68697109862089
0.436666679382324,2.7105288474679
0.438333320617676,2.73415035387278
0.439999993642171,2.7578345031929
0.441666666666667,2.78158107249975
0.443333339691162,2.80538872422218
0.445000012715658,2.82925723543167
0.446666653951009,2.85318526855707
0.448333326975505,2.87717260066986
0.45,2.90121811712742
0.451666673024495,2.9253213720727
0.453333346048991,2.94948125086308
0.454999987284342,2.97369730764151
0.456666660308838,2.99796842776537
0.458333333333333,3.02229394244909
0.460000006357829,3.04667340583563
0.461666679382324,3.07110570328236
0.463333320617676,3.09559038893223
0.464999993642171,3.12012634814262
0.466666666666667,3.14471291212797
0.468333339691162,3.16934963503122
0.470000012715658,3.19403540220976
0.471666653951009,3.21876954487801
0.473333326975505,3.24355139425039
0.475,3.26838028154135
0.476666673024495,3.29325509210825
0.478333346048991,3.31817515716553
0.479999987284342,3.34314003085613
0.481666660308838,3.36814882146597
0.483333333333333,3.39320086020946
0.485000006357829,3.418295032444
0.486666679382324,3.44343089231253
0.488333320617676,3.46860777102947
0.489999993642171,3.49382477688074
0.491666666666667,3.51908124108076
0.493333339691162,3.54437627191544
0.495000012715658,3.56970920059919
0.496666653951009,3.59507958127499
0.498333326975505,3.62048629930019
0.5,3.64592868588924
0.501666673024495,3.67140607225656
0.503333346048991,3.69691778961658
0.504999987284342,3.72246316918373
0.506666660308838,3.74804109631538
0.508333333333333,3.7736511251545
0.510000006357829,3.79929236398697
0.511666679382324,3.82496436695576
0.513333320617676,3.85066624234676
0.514999993642171,3.87639754430294
0.516666666666667,3.90215693525314
0.518333339691162,3.92794396934032
0.520000012715658,3.95375864656448
0.521666653951009,3.97959918349743
0.523333326975505,4.00546558013916
0.525,4.03135649891853
0.526666673024495,4.0572723856926
0.528333346048991,4.08321145703316
0.529999987284342,4.10917326708317
0.531666660308838,4.13515736998558
0.533333333333333,4.1611628740263
0.534999974568685,4.18718933334827
0.536666679382324,4.21323585623741
0.538333320617676,4.23930155097961
0.540000025431315,4.26538552586079
0.541666666666667,4.29148778088093
0.543333307902018,4.31760742432594
0.545000012715658,4.34374311862469
0.546666653951009,4.36989530963421
0.548333358764648,4.39606265978336
0.55,4.4222447232151
0.551666641235352,4.44844060821533
0.553333346048991,4.47464942306995
0.554999987284342,4.50087161363602
0.556666692097982,4.52710539648533
0.558333333333333,4.55335032576084
0.559999974568685,4.57960595560551
0.561666679382324,4.60587184016228
0.563333320617676,4.63214708771706
0.565000025431315,4.65843080655575
0.566666666666667,4.68472299667835
0.568333307902018,4.71102232051373
0.570000012715658,4.73732833220482
0.571666653951009,4.76364058589458
0.573333358764648,4.78995818986893
0.575,4.8162806982708
0.576666641235352,4.8426072193861
0.578333346048991,4.86893730735779
0.579999987284342,4.89527051632881
0.581666692097982,4.92160595458507
0.583333333333333,4.94794317626953
0.584999974568685,4.97428173552513
0.586666679382324,5.00062074063778
