"CLCR","Cmax","Tmax","AUC24","AUC96","F","Clast"
100,32.0278770981979,1.40500005086263,179.272709830082,191.048302814796,100,1.23140477846861
60,35.4126668651962,1.54000002543132,276.905358080585,303.117459088615,100,2.60912579560518
40,37.6907252995682,1.65666669209798,384.401302712125,442.584422910814,100,5.19355824446201
20,40.6807603699493,1.87666664123535,610.32911603681,854.471697209633,100,14.4238874758339
