run,CL,V1,V2,F_oral,Cmax,AUC_MIC,Cmax_MIC
1,3.6755091594546365,19.251104867227994,18.779458795170083,0.3381604767239706,8.729556621920556,43.8178432258917,8.729556621920556
2,4.439052863132341,15.933138672522958,18.369971014582813,0.3381604767239706,10.181611980411919,38.19875023381658,10.181611980411919
3,7.440616985032176,19.065116060966524,13.322130749108748,0.3381604767239706,8.29735657253098,24.40773455070776,8.29735657253098
4,7.399156347218456,23.665045386322202,11.994253685673574,0.3381604767239706,6.821007587044399,24.561468396576892,6.821007587044399
5,9.261156615133654,18.369836690411514,25.24417703515647,0.3381604767239706,8.391296183047377,19.160480886731335,8.391296183047377
6,4.770098477256986,12.058280274863662,12.027824334717266,0.3381604767239706,12.98012017521841,37.57334777642548,12.98012017521841
7,5.441187017106187,21.32905562437299,14.585351867922965,0.3381604767239706,7.733553995122409,32.125551380081845,7.733553995122409
8,8.585802224894318,13.671833441483164,14.394265233728365,0.3381604767239706,11.076133261555624,21.127922889489685,11.076133261555624
9,3.0194460785061525,18.037338482623063,16.55542384086739,0.3381604767239706,9.154226602670473,52.412023026814595,9.154226602670473
10,4.511217897497547,16.529769308247943,14.699197505155327,0.3381604767239706,9.857683961304755,38.427610364037214,9.857683961304755
11,5.452452547774783,18.390253430151784,15.22084603697058,0.3381604767239706,8.836219917285241,32.22472884587935,8.836219917285241
12,10.26161747860743,17.415902134804877,16.382580575745745,0.3381604767239706,8.747159845354235,17.734139462276275,8.747159845354235
13,3.8656404436980396,18.449200864853832,14.007579213743549,0.3381604767239706,8.99778001735656,43.72786927012616,8.99778001735656
14,6.742176102175793,20.339855210279662,18.106301168696795,0.3381604767239706,7.921332923773795,26.19540170848258,7.921332923773795
15,4.858820534009819,23.214474152385232,17.830821159667185,0.3381604767239706,7.164880820476691,34.70451073101066,7.164880820476691
16,2.796406557313251,13.968451627992739,15.370884831431992,0.3381604767239706,11.698843915502682,57.636327725212865,11.698843915502682
17,5.428618165467101,23.63373010963067,21.87290393488277,0.3381604767239706,7.071061953249319,30.83008846485623,7.071061953249319
18,4.670984352395846,14.569971138963348,15.465181207704621,0.3381604767239706,11.021001804914741,37.29080281422804,11.021001804914741
19,3.2824365938869815,22.692502762998284,15.936081095317864,0.3381604767239706,7.4657163340694455,47.89535946981087,7.4657163340694455
20,5.316780423336257,14.328288254206262,13.011590071844305,0.3381604767239706,11.057762697904232,33.64476831049068,11.057762697904232
21,3.978494580115663,15.56365773850328,23.96790586627953,0.3381604767239706,10.478761415428018,40.459722525529536,10.478761415428018
22,6.803201324561494,20.152235495197402,11.885858075771491,0.3381604767239706,7.97577777044319,26.645390611643556,7.97577777044319
23,5.750269555515636,16.213427950318447,14.555100524126065,0.3381604767239706,9.901766747946356,30.82588420208478,9.901766747946356
24,8.267284488367713,22.551395471554898,13.818855063345476,0.3381604767239706,7.138807638855299,21.863846351762298,7.138807638855299
25,7.013291531200574,18.79763098510042,20.03324713589882,0.3381604767239706,8.516461482769651,25.028986671467358,8.516461482769651
26,5.6984459222065444,20.230550617611183,15.708492366080467,0.3381604767239706,8.080023470460619,30.768708472498602,8.080023470460619
27,3.320183545354707,21.255261257129195,12.210756059148833,0.3381604767239706,7.967742673021694,49.38783984258614,7.967742673021694
28,4.921995359215149,18.247275640741638,13.607534752917815,0.3381604767239706,8.969441641147357,35.615865996587694,8.969441641147357
29,3.8979477564792635,17.330393689585584,18.831457502036656,0.3381604767239706,9.451651448547084,42.322822490910816,9.451651448547084
30,7.099335135091076,21.643016382571492,12.01112198344569,0.3381604767239706,7.5269069634125145,25.363507226306787,7.5269069634125145
31,5.061361037262216,14.953429776543127,18.99097142342122,0.3381604767239706,10.678159556839342,34.05784510360952,10.678159556839342
32,7.93661384030692,13.571172004453906,16.774304216314732,0.3381604767239706,11.277753624851774,22.56251718669143,11.277753624851774
33,6.046338596731301,18.25310898352487,16.012972098025053,0.3381604767239706,8.774065702181694,29.364895990296016,8.774065702181694
34,4.738704527154501,14.641413288678308,12.379418250626951,0.3381604767239706,11.031052944883474,37.318398637363295,11.031052944883474
35,2.9539228924670433,15.611376507411167,13.697229631787387,0.3381604767239706,10.62312268250772,55.33844092888147,10.62312268250772
36,4.246333373581411,16.390550170169917,21.046364080532996,0.3381604767239706,9.869730292766054,39.09315207212877,9.869730292766054
37,3.893153408537632,19.746302839357178,21.693622286440434,0.3381604767239706,8.504004002529456,41.078421333812415,8.504004002529456
38,7.908795332427036,14.173077495173024,20.34165505323742,0.3381604767239706,10.799641533243761,22.465154875075978,10.799641533243761
39,4.742128744635761,12.43231908977144,14.905274821637084,0.3381604767239706,12.760213236993986,36.925868195389405,12.760213236993986
40,7.863955776875172,17.797823748575183,12.404668649299323,0.3381604767239706,8.804378967127453,23.182491856092092,8.804378967127453
41,5.452758706457612,13.632367472061407,13.007599577849774,0.3381604767239706,11.534103668776293,32.88763562650866,11.534103668776293
42,6.7501632438900545,13.546137866018084,22.807688580667214,0.3381604767239706,11.397577077110666,25.83114977863124,11.397577077110666
43,2.741188665506607,17.52136891326972,13.9343814259609,0.3381604767239706,9.516632711719836,57.78599699744528,9.516632711719836
44,7.865826624653974,18.087036684532833,11.736596322664862,0.3381604767239706,8.73265963209536,23.14501470075477,8.73265963209536
45,3.600490129733711,13.919089598453013,10.078868051248715,0.3381604767239706,11.590810804072435,49.045342716391524,11.590810804072435
46,3.626585400782886,15.042447239709604,17.052344071770225,0.3381604767239706,10.888021474407557,45.743461222466095,10.888021474407557
47,7.5932804572515415,16.66072615222134,19.818567420749666,0.3381604767239706,9.331919699678707,23.456806396987606,9.331919699678707
48,5.023647427447754,20.74929196274569,13.917420405769255,0.3381604767239706,7.9165962164820085,34.82615648917189,7.9165962164820085
49,7.960093816461151,19.67708304761629,14.582416740264064,0.3381604767239706,8.025756167707412,22.776760557899195,8.025756167707412
50,5.185749118116069,13.744606969135697,16.888018489641002,0.3381604767239706,11.54904019208953,33.66756621337695,11.54904019208953
51,6.006930924559511,20.982605579997347,15.979419325163464,0.3381604767239706,7.807020416336277,29.202545886785494,7.807020416336277
52,5.368094364704858,13.71826951246256,14.282730527333332,0.3381604767239706,11.486416323789634,33.15773664819184,11.486416323789634
53,5.658093380646086,19.392549482190176,20.29574155644024,0.3381604767239706,8.371944951489398,30.395068787465064,8.371944951489398
54,6.782626660891538,15.226594274259613,16.015342970529154,0.3381604767239706,10.17761779187743,26.52915445065684,10.17761779187743
55,7.305037351214725,18.652939729314195,16.39797008985329,0.3381604767239706,8.497090046362315,24.546926810987646,8.497090046362315
56,3.2708684651804245,22.47535562739223,14.691745410140122,0.3381604767239706,7.580685045452536,48.528535055278944,7.580685045452536
57,4.710709325374739,19.16851259234735,17.794203073314335,0.3381604767239706,8.644928904551898,35.88616376360958,8.644928904551898
58,8.262627699185524,19.4375381624925,22.29005146577411,0.3381604767239706,8.169753835608075,21.289402197157322,8.169753835608075
59,7.18055401239314,17.280721819977224,15.446935590122065,0.3381604767239706,9.111592655877804,25.05410875050459,9.111592655877804
60,4.381263381136108,19.242219093277008,24.159726149984543,0.3381604767239706,8.637262395512504,36.92503852947565,8.637262395512504
61,9.581849691713582,14.329000511439094,12.948835429550664,0.3381604767239706,10.425046464178456,19.122329989504976,10.425046464178456
62,4.257896273969679,11.774364569603712,19.567050781153505,0.3381604767239706,13.345826962712836,39.85064547230186,13.345826962712836
63,4.045259226266739,19.50975487630902,15.219934081269304,0.3381604767239706,8.51083245042841,41.598430422249876,8.51083245042841
64,5.928477296868419,13.295535945207769,15.813440725282561,0.3381604767239706,11.738626936048762,29.962457619353373,11.738626936048762
65,3.739784471383574,16.282266787280722,14.648340595772954,0.3381604767239706,10.072889402140017,45.2644253115578,10.072889402140017
66,7.614074911340529,15.195074962307892,17.44002465907054,0.3381604767239706,10.076750127188793,23.69007803911191,10.076750127188793
67,7.197292353993075,16.6634559768969,13.128553685496918,0.3381604767239706,9.33244200152931,25.299154590576723,9.33244200152931
68,5.9359261777744425,20.032614029388338,9.936921759214854,0.3381604767239706,8.130539079265162,30.47566625555552,8.130539079265162
69,3.1062506020725342,23.666635861521076,17.67831064371747,0.3381604767239706,7.20661850633727,48.797224551609354,7.20661850633727
70,7.0922574767413415,16.888772904538587,12.74139284183273,0.3381604767239706,9.345940496923216,25.542781854797504,9.345940496923216
71,7.103801099242525,17.027172925347347,22.72228654891249,0.3381604767239706,9.269629523873471,24.57097432025905,9.269629523873471
72,12.361442329716503,15.145646319171412,13.846997380300861,0.3381604767239706,9.67696116114406,14.817143474901425,9.67696116114406
73,4.061537504952093,14.829267510598358,13.21510636181795,0.3381604767239706,10.892320609709966,42.92628682845513,10.892320609709966
74,7.042372563739184,17.594174842316797,13.66503586594917,0.3381604767239706,9.003394477647618,25.644241150197143,9.003394477647618
75,5.38677075266444,14.376036457482007,14.881316350499251,0.3381604767239706,10.922241413393055,33.08199242073257,10.922241413393055
76,3.9188280716925865,18.406338108324906,13.949218816806784,0.3381604767239706,8.868522246870132,43.64096737285061,8.868522246870132
77,5.047596132983905,17.848240813135526,12.883060228416284,0.3381604767239706,9.190136909994036,34.835484377871126,9.190136909994036
78,8.124193570544662,16.40614013063811,15.221973696824136,0.3381604767239706,9.418116909796616,22.320117152144142,9.418116909796616
79,5.725827669294806,18.60007906869376,17.601189046339947,0.3381604767239706,8.702428575401926,30.492583015462625,8.702428575401926
80,7.324264233558971,17.467554921833386,18.568702908986115,0.3381604767239706,8.933020133615337,24.434364333641852,8.933020133615337
81,5.419021511881965,15.896744007049334,18.11675141638178,0.3381604767239706,10.098253761215366,32.04524014179441,10.098253761215366
82,8.116723575704071,17.532792383954096,13.810760986542094,0.3381604767239706,8.924383249849203,22.35237041303842,8.924383249849203
83,6.497075738780579,18.10243761951597,19.992351727288458,0.3381604767239706,8.867139352097709,26.85955528478539,8.867139352097709
84,7.830798549036981,14.681237501874888,24.51978331940035,0.3381604767239706,10.519840839261141,22.303678187046533,10.519840839261141
85,10.061997102006462,18.192183639272574,12.63661954880261,0.3381604767239706,8.480534514614607,18.16401791008355,8.480534514614607
86,5.332482915311558,15.74364542216774,14.092158582167587,0.3381604767239706,10.076481448434897,33.456218059230935,10.076481448434897
87,3.5698105933443034,16.424479994173705,16.42967728531867,0.3381604767239706,10.083780898704422,46.19206256957716,10.083780898704422
88,6.00768344850994,17.533820130016167,22.06837403301486,0.3381604767239706,9.15886346230932,28.63626793750204,9.15886346230932
89,4.770033849898864,22.301313503296807,21.429858851856103,0.3381604767239706,7.446950196741452,34.608744609485576,7.446950196741452
90,6.786781955298133,20.34530448677928,18.90375935150176,0.3381604767239706,7.932163698871787,25.908971760163286,7.932163698871787
91,7.020589862922378,20.425173842156028,13.997098655046816,0.3381604767239706,7.865245768722299,25.65193117149799,7.865245768722299
92,6.869976462809888,14.379861646276979,16.053062589102165,0.3381604767239706,10.824177371299019,26.001959905527947,10.824177371299019
93,4.523679623964619,13.420011031983712,16.876433944783198,0.3381604767239706,12.016065904927135,37.89761804714422,12.016065904927135
94,6.949778141159962,25.33448573998517,15.474701466519926,0.3381604767239706,6.5032309073729495,25.4660662275645,6.5032309073729495
95,7.52500613130022,15.416529882718523,16.810347632646558,0.3381604767239706,10.03761804849149,23.877970018508467,10.03761804849149
96,3.7618392986676072,23.445449314672775,15.000360618110705,0.3381604767239706,7.257306584693061,43.26474689534147,7.257306584693061
97,6.035440858982974,16.080498842033055,19.30840805419536,0.3381604767239706,9.853114308746305,29.017862445691215,9.853114308746305
98,5.2722911989676415,13.809289766121418,13.110406296706282,0.3381604767239706,11.511892947798497,33.7678941999152,11.511892947798497
99,6.2439932587592315,13.369666114821387,21.65100315292798,0.3381604767239706,11.601955528931496,27.8837315452303,11.601955528931496
100,4.2347255308473875,18.802452248507635,16.141106473137793,0.3381604767239706,8.85954139610347,39.71800734768365,8.85954139610347
101,6.820636329085567,15.638657271750525,15.89943929569641,0.3381604767239706,10.086516762887218,26.12569319847614,10.086516762887218
102,5.49913890177564,22.483553577254426,18.834601785066734,0.3381604767239706,7.312478044743043,31.196182121518387,7.312478044743043
103,9.004562039498774,20.53401669726135,12.001525429542008,0.3381604767239706,7.623935943205993,20.35692467988481,7.623935943205993
104,9.099883205768899,16.17782606180245,26.413295305332085,0.3381604767239706,9.467417511418471,19.336994185580714,9.467417511418471
105,6.230221056658758,10.860470540272972,13.208220391606602,0.3381604767239706,13.987792830105441,28.950374487157,13.987792830105441
106,4.85076304996937,14.966584683872984,16.260269947181946,0.3381604767239706,10.747005792273088,35.811816661618096,10.747005792273088
107,7.215533359992763,17.47793435489308,13.842393235373272,0.3381604767239706,9.034685880319232,25.047819836105234,9.034685880319232
108,6.960706070249776,13.852834777487374,17.503748010742417,0.3381604767239706,11.050550222478373,25.76838226339484,11.050550222478373
109,7.463498918439261,22.830387459362,19.074033125105537,0.3381604767239706,7.09409549608805,23.667598536755563,7.09409549608805
110,5.231524378170921,17.235666986062125,16.032151098599904,0.3381604767239706,9.400462486438169,33.374180261287336,9.400462486438169
111,9.628492575774446,19.070688217333043,17.331528962693028,0.3381604767239706,8.171519951178311,18.714412752274598,8.171519951178311
112,5.709561968804921,22.264787531580335,21.390616201790998,0.3381604767239706,7.3981408176245935,29.740471061396374,7.3981408176245935
113,4.9549386742792105,20.792261501645203,14.19347913332644,0.3381604767239706,7.900906228024581,35.20706696543936,7.900906228024581
114,5.891259951473747,14.445670393654803,15.52777253623278,0.3381604767239706,10.863042720251702,30.242798487305123,10.863042720251702
115,6.370179061520232,16.56977910660491,17.83860207714838,0.3381604767239706,9.588692302326976,27.706463650201968,9.588692302326976
116,7.138883002081731,31.034324094898963,20.852438336224346,0.3381604767239706,5.397149425234165,24.07408808227812,5.397149425234165
117,4.5260281724486875,16.444178872381503,19.084539625332024,0.3381604767239706,9.70004061276413,37.72906843066891,9.70004061276413
118,11.015647336260665,12.866482602574312,12.660193723120802,0.3381604767239706,11.23311461738656,16.65636022475842,11.23311461738656
119,3.9898471479139026,16.713553187566248,17.775665742793667,0.3381604767239706,9.714089180777588,42.05101466542345,9.714089180777588
120,6.334651145030106,13.943381756509504,12.919820433197945,0.3381604767239706,10.993356888150007,28.734505863509558,10.993356888150007
121,7.9247825225655975,19.363724541281044,9.938953792619662,0.3381604767239706,8.188704773534875,23.113831511382784,8.188704773534875
122,4.199500740414981,17.92339544137507,18.764845448859273,0.3381604767239706,9.180251434983608,39.63150558659534,9.180251434983608
