logP,particle_size,surfactant,pe_conc,polymer,dose,F_oral,Cmax,AUC,Cmax_MIC,AUC_MIC
1.5881444586265092,50.05594338057077,50.0271344166392,49.917122513230396,29.47118905800726,999.9816505671429,0.28362673433730967,12.410351907676207,60.053866219863856,12.410351907676207,60.053866219863856
1.5881444586265092,50.05594338057077,50.0271344166392,49.917122513230396,29.47118905800726,999.9816505671429,0.28362673433730967,12.410351907676207,60.053866219863856,12.410351907676207,60.053866219863856
1.5612346882165928,50,50.04474709188478,50,30,994.9231534653474,0.2841199604694151,12.370176651497552,59.85397426641185,12.370176651497552,59.85397426641185
1.5612346882165928,50,50.04474709188478,50,30,994.9231534653474,0.2841199604694151,12.370176651497552,59.85397426641185,12.370176651497552,59.85397426641185
1.5881444586265092,50,50.0271344166392,49.917122513230396,29.203696012283846,1000,0.2828521633371887,12.376803625826785,59.890960000370654,12.376803625826785,59.890960000370654
1.501889805324742,51.587351763168265,39.1905557416068,49.49579252297887,30,993.8014697873608,0.25484722838583035,10.981636267900972,53.627469639152395,10.981636267900972,53.627469639152395
1.4913993166885096,50,10,45.293342122935265,29.209903024894345,994.0362790194301,0.2461395233105979,10.283962127143198,51.80897815268881,10.283962127143198,51.80897815268881
1.6,50,16.05305235687098,49.90460382444205,29.341371359005215,931.4615475774484,0.24661758062692407,9.758165770459053,48.64146282062889,9.758165770459053,48.64146282062889
1.4800583546041635,50,12.794885993626187,47.24503710313416,29.05154206147731,856.6634611504843,0.24809788962518006,8.976996991902327,45.00421219811019,8.976996991902327,45.00421219811019
1.5881444586265092,50,11.669403914716286,49.917122513230396,29.47118905800726,999.9816505671429,0.2297865186028318,9.720046926072229,48.65594217447226,9.720046926072229,48.65594217447226
