logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose,pareto_rank,fitness,F_oral,Cmax,Tmax,AUC,AUC_24,Cmax_MIC,AUC_MIC,Ctrough,fCT,Ka,k_transit,obj_F,obj_Cmax,obj_AUC,obj_dose,penalty
1.500090080744626,50,49.99682530855734,30,20.000030912840227,50,30,1,1,547.0348893616747,65,0.6107263631713671,0.3381604767239706,9.484606213198006,0.30000000000000004,31.92569033236986,31.92569033236986,9.484606213198006,31.92569033236986,0.1564513907642937,29.313929313929314,5,2.239990475925672,0.520246887267647,1,0.3990711291546233,0.5662063882979067,0
1.4989563385225404,50,49.99669520709847,29.999999999999993,20.000030849316882,50,30,1,1,543.3842321259987,68,0.6107245579365889,0.33829901515859473,9.42516993652221,0.30000000000000004,31.725625190383766,31.725625190383766,9.42516993652221,31.725625190383766,0.15547097459964304,29.313929313929314,5,2.2399900856212955,0.5204600233209149,1,0.3965703148797971,0.5707697098425017,0
1.5013711440247108,50,49.99763344635119,29.999999986869643,20,50,29.99801268605137,1,1,538.0081939391866,99,0.6107171079625541,0.338498584489052,9.337427084134703,0.30000000000000004,31.430274242167346,31.430274242167346,9.337427084134703,31.430274242167346,0.15402360995238007,29.10602910602911,5,2.2399929002996624,0.52076705306008,1,0.39287842802709183,0.5774897575760167,0
1.5023558524956255,50,49.99194272109653,29.999999999999993,20,49.99999999999999,29.999999999999996,1,1,559.8680350241767,114,0.610715068373509,0.33765836674844046,9.692690509002508,0.30000000000000004,32.62613382023394,32.62613382023394,9.692690509002508,32.62613382023394,0.15988391236634006,29.72972972972973,5,2.2399758281632893,0.5194744103822161,1,0.4078266727529242,0.5501649562197791,0
1.4997314107321824,50.000086038887225,49.99704070325931,30,20.00001749061533,50,29.999999999999996,1,1,564.7681604242241,184,0.6107141981450895,0.3374734678535552,9.77217604868437,0.30000000000000004,32.89366481638728,32.89366481638728,9.77217604868437,32.89366481638728,0.16119493556896616,29.93762993762994,5,2.239991122109778,0.519189950543931,1,0.411170810204841,0.5440397994697199,0
1.4997314107321824,50.000086038887225,49.99704070325931,30,20.00001749061533,50,29.999999999999996,1,1,564.7681604242241,185,0.6107141981450895,0.3374734678535552,9.77217604868437,0.30000000000000004,32.89366481638728,32.89366481638728,9.77217604868437,32.89366481638728,0.16119493556896616,29.93762993762994,5,2.239991122109778,0.519189950543931,1,0.411170810204841,0.5440397994697199,0
1.5002622212108268,50,49.99726575446567,30,20.000000003889774,50,30,1,1,528.867779797722,44,0.6107049058065427,0.33884243838804073,9.188113757029146,0.30000000000000004,30.927679146948893,30.927679146948893,9.188113757029146,30.927679146948893,0.1515606504577254,28.690228690228693,5,2.239991797263397,0.5212960590585242,1,0.3865959893368612,0.5889152752528475,0
1.5002472898188415,50,49.997274286458676,29.99999945815431,20.00000000012194,50,30,1,1,570.0762990783827,63,0.6107041632840753,0.33726381808818334,9.857895138662414,0.30000000000000004,33.18219883420384,33.18219883420384,9.857895138662414,33.18219883420384,0.16260889200928486,30.14553014553015,5,2.239991821233839,0.518867412443359,1,0.414777485427548,0.5374046261520216,0
1.5000276935642438,50,49.997047870434024,30,20.00000231433877,50,30,1,1,524.5592426692091,71,0.6106944087546876,0.33900035876962487,9.11750783312127,0.30000000000000004,30.69001672203872,30.69001672203872,9.11750783312127,30.69001672203872,0.1503959894818256,28.482328482328484,5,2.2399911436113022,0.5215390134917306,1,0.383625209025484,0.5943009466634886,0
1.5023558524956255,50.00000158892376,49.99194272109653,29.999999999999996,20.000011584241008,49.99999999999999,29.999999999999996,1,1,574.4695223914813,107,0.610687019934516,0.3370810047748827,9.928472339997612,0.30000000000000004,33.41978854007481,33.41978854007481,9.928472339997612,33.41978854007481,0.16377320621817426,30.353430353430355,5,2.2399758281632893,0.5185861611921272,1,0.41774735675093516,0.5319130970106484,0
